-183.578, 78.855, 1.216,  1.765
-183.570, 78.815, 1.222,  1.798
-183.562, 78.775, 1.229,  1.831
-183.554, 78.734, 1.235,  1.864
-183.545, 78.694, 1.241,  1.897
-183.537, 78.653, 1.247,  1.930
-183.528, 78.612, 1.253,  1.963
-183.520, 78.571, 1.258,  1.996
-183.511, 78.530, 1.264,  2.029
-183.502, 78.488, 1.269,  2.062
-183.493, 78.447, 1.275,  2.095
-183.484, 78.405, 1.280,  2.128
-183.475, 78.363, 1.286,  2.161
-183.466, 78.321, 1.291,  2.194
-183.456, 78.278, 1.296,  2.227
-183.447, 78.236, 1.301,  2.260
-183.437, 78.193, 1.307,  2.293
-183.428, 78.151, 1.312,  2.326
-183.418, 78.108, 1.317,  2.359
-183.408, 78.065, 1.322,  2.392
-183.398, 78.022, 1.328,  2.425
-183.388, 77.978, 1.333,  2.458
-183.378, 77.935, 1.338,  2.491
-183.368, 77.891, 1.343,  2.524
-183.357, 77.847, 1.348,  2.557
-183.347, 77.803, 1.354,  2.590
-183.337, 77.759, 1.359,  2.623
-183.326, 77.715, 1.364,  2.656
-183.316, 77.671, 1.369,  2.689
-183.305, 77.626, 1.374,  2.722
-183.294, 77.581, 1.379,  2.755
-183.283, 77.536, 1.385,  2.788
-183.272, 77.491, 1.390,  2.821
-183.261, 77.446, 1.395,  2.854
-183.250, 77.401, 1.400,  2.887
-183.239, 77.355, 1.405,  2.920
-183.228, 77.309, 1.411,  2.953
-183.216, 77.264, 1.416,  2.986
-183.205, 77.218, 1.421,  3.019
-183.193, 77.171, 1.426,  3.052
-183.182, 77.125, 1.432,  3.085
-183.170, 77.079, 1.437,  3.118
-183.159, 77.032, 1.442,  3.151
-183.147, 76.985, 1.447,  3.184
-183.135, 76.938, 1.453,  3.217
-183.123, 76.891, 1.458,  3.250
-183.111, 76.844, 1.463,  3.283
-183.099, 76.796, 1.469,  3.316
-183.087, 76.749, 1.474,  3.349
-183.075, 76.701, 1.479,  3.382
-183.063, 76.653, 1.485,  3.415
-183.050, 76.605, 1.490,  3.448
-183.038, 76.557, 1.496,  3.481
-183.026, 76.508, 1.501,  3.514
-183.013, 76.460, 1.506,  3.547
